test_id,category,fetch_fault,rf_fault,fw_pass,trap_seen,fetch_single_cnt,fetch_double_cnt,fetch_fatal_cnt,rf_single_err,rf_double_err,rf_fatal,result
231,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
232,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
233,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
234,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
235,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
236,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
237,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
238,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
239,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
240,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
241,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
242,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
243,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
244,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
245,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
246,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
247,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
248,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
249,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
250,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
251,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
252,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
253,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
254,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
255,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
256,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
257,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
258,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
259,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
260,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
261,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
262,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
263,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
264,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
265,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
266,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
267,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
268,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
269,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
270,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
271,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
272,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
273,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
274,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
275,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
276,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
277,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
278,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
279,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
280,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
281,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
282,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
283,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
284,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
285,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
286,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
287,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
288,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
289,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
290,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
291,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
292,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
293,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
294,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
295,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
296,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
297,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
298,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
299,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
300,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
301,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
302,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
303,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
304,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
305,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
306,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
307,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
308,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
309,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
310,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
311,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
312,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
313,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
314,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
315,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
316,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
317,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
318,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
319,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
320,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
321,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
322,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
323,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
324,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
325,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
326,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
327,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
328,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
329,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
330,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
331,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
332,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
333,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
334,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
335,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
336,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
337,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
338,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
339,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
340,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
